"Creditability","rating","pd"
0,"05 [-0.1703,0.5508)",0.582822085889571
0,"04 [-1.0122,-0.1703)",0.356521739130435
0,"03 [-1.4497,-1.0122)",0.188679245283019
0,"02 [-2.206,-1.4497)",0.12565445026178
0,"02 [-2.206,-1.4497)",0.12565445026178
0,"02 [-2.206,-1.4497)",0.12565445026178
0,"01 (-Inf,-2.206)",0.062780269058296
0,"02 [-2.206,-1.4497)",0.12565445026178
0,"01 (-Inf,-2.206)",0.062780269058296
0,"04 [-1.0122,-0.1703)",0.356521739130435
0,"04 [-1.0122,-0.1703)",0.356521739130435
0,"04 [-1.0122,-0.1703)",0.356521739130435
0,"02 [-2.206,-1.4497)",0.12565445026178
0,"05 [-0.1703,0.5508)",0.582822085889571
0,"04 [-1.0122,-0.1703)",0.356521739130435
0,"04 [-1.0122,-0.1703)",0.356521739130435
0,"04 [-1.0122,-0.1703)",0.356521739130435
0,"05 [-0.1703,0.5508)",0.582822085889571
0,"04 [-1.0122,-0.1703)",0.356521739130435
0,"01 (-Inf,-2.206)",0.062780269058296
0,"04 [-1.0122,-0.1703)",0.356521739130435
0,"04 [-1.0122,-0.1703)",0.356521739130435
1,"05 [-0.1703,0.5508)",0.582822085889571
0,"02 [-2.206,-1.4497)",0.12565445026178
0,"04 [-1.0122,-0.1703)",0.356521739130435
0,"03 [-1.4497,-1.0122)",0.188679245283019
0,"04 [-1.0122,-0.1703)",0.356521739130435
0,"02 [-2.206,-1.4497)",0.12565445026178
0,"02 [-2.206,-1.4497)",0.12565445026178
0,"03 [-1.4497,-1.0122)",0.188679245283019
0,"02 [-2.206,-1.4497)",0.12565445026178
0,"01 (-Inf,-2.206)",0.062780269058296
0,"02 [-2.206,-1.4497)",0.12565445026178
0,"01 (-Inf,-2.206)",0.062780269058296
0,"05 [-0.1703,0.5508)",0.582822085889571
0,"03 [-1.4497,-1.0122)",0.188679245283019
0,"01 (-Inf,-2.206)",0.062780269058296
0,"01 (-Inf,-2.206)",0.062780269058296
0,"02 [-2.206,-1.4497)",0.12565445026178
0,"01 (-Inf,-2.206)",0.062780269058296
0,"01 (-Inf,-2.206)",0.062780269058296
0,"04 [-1.0122,-0.1703)",0.356521739130435
0,"01 (-Inf,-2.206)",0.062780269058296
0,"02 [-2.206,-1.4497)",0.12565445026178
0,"04 [-1.0122,-0.1703)",0.356521739130435
1,"05 [-0.1703,0.5508)",0.582822085889571
0,"01 (-Inf,-2.206)",0.062780269058296
1,"01 (-Inf,-2.206)",0.062780269058296
0,"03 [-1.4497,-1.0122)",0.188679245283019
0,"04 [-1.0122,-0.1703)",0.356521739130435
0,"02 [-2.206,-1.4497)",0.12565445026178
0,"04 [-1.0122,-0.1703)",0.356521739130435
0,"01 (-Inf,-2.206)",0.062780269058296
0,"01 (-Inf,-2.206)",0.062780269058296
0,"02 [-2.206,-1.4497)",0.12565445026178
0,"03 [-1.4497,-1.0122)",0.188679245283019
0,"01 (-Inf,-2.206)",0.062780269058296
0,"03 [-1.4497,-1.0122)",0.188679245283019
0,"02 [-2.206,-1.4497)",0.12565445026178
0,"03 [-1.4497,-1.0122)",0.188679245283019
0,"01 (-Inf,-2.206)",0.062780269058296
0,"03 [-1.4497,-1.0122)",0.188679245283019
0,"02 [-2.206,-1.4497)",0.12565445026178
0,"02 [-2.206,-1.4497)",0.12565445026178
0,"04 [-1.0122,-0.1703)",0.356521739130435
