"LGD_R","LGD_P","LGD_P_pool","LGD_R_pool_1","LGD_R_pool_2","LGD_R_pool_3"
0.541231530630751,0.158314794965261,"01 (-Inf,0.2488)","07 [0.5,0.6)","04 (0.355,0.665]","04 (0.355,0.665]"
0.857234410389709,0.832127594179105,"05 [0.7705,Inf)","10 [0.8,0.9)","06 (0.829, Inf]","05 (0.665, Inf]"
0.829010470371612,0.502445412792699,"04 [0.5024,0.7705)","10 [0.8,0.9)","05 (0.665,0.829]","05 (0.665, Inf]"
0.909796845366079,0.272152155691859,"02 [0.2488,0.3225)","11 [0.9,1)","06 (0.829, Inf]","05 (0.665, Inf]"
0.857234410389709,0.832127594179105,"05 [0.7705,Inf)","10 [0.8,0.9)","06 (0.829, Inf]","05 (0.665, Inf]"
0.103602186242086,0.270368693962829,"02 [0.2488,0.3225)","03 [0.1,0.2)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0.103602186242086,0.270368693962829,"02 [0.2488,0.3225)","03 [0.1,0.2)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0.773875326575278,0.770517742926092,"05 [0.7705,Inf)","09 [0.7,0.8)","05 (0.665,0.829]","05 (0.665, Inf]"
0.275354600905514,0.502445412792699,"04 [0.5024,0.7705)","04 [0.2,0.3)","03 (0.27,0.355]","03 (0.27,0.355]"
0.352462930049435,0.237292759155543,"01 (-Inf,0.2488)","05 [0.3,0.4)","03 (0.27,0.355]","03 (0.27,0.355]"
0.00122707830861698,0.502445412792699,"04 [0.5024,0.7705)","01 [-Inf,0.05)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0.352462930049435,0.237292759155543,"01 (-Inf,0.2488)","05 [0.3,0.4)","03 (0.27,0.355]","03 (0.27,0.355]"
0.275354600905514,0.502445412792699,"04 [0.5024,0.7705)","04 [0.2,0.3)","03 (0.27,0.355]","03 (0.27,0.355]"
0.352462930049435,0.237292759155543,"01 (-Inf,0.2488)","05 [0.3,0.4)","03 (0.27,0.355]","03 (0.27,0.355]"
0.00122707830861698,0.502445412792699,"04 [0.5024,0.7705)","01 [-Inf,0.05)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0.275354600905514,0.502445412792699,"04 [0.5024,0.7705)","04 [0.2,0.3)","03 (0.27,0.355]","03 (0.27,0.355]"
0.00145710692544103,0.127329612666709,"01 (-Inf,0.2488)","01 [-Inf,0.05)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0.00145710692544103,0.127329612666709,"01 (-Inf,0.2488)","01 [-Inf,0.05)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0.00145710692544103,0.127329612666709,"01 (-Inf,0.2488)","01 [-Inf,0.05)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0.801023638686821,0.272152155691859,"02 [0.2488,0.3225)","10 [0.8,0.9)","05 (0.665,0.829]","05 (0.665, Inf]"
0.37652023728359,0.127329612666709,"01 (-Inf,0.2488)","05 [0.3,0.4)","04 (0.355,0.665]","04 (0.355,0.665]"
0.287839545705482,0.127329612666709,"01 (-Inf,0.2488)","04 [0.2,0.3)","03 (0.27,0.355]","03 (0.27,0.355]"
0.287192177055072,0.41049403466038,"03 [0.3225,0.5024)","04 [0.2,0.3)","03 (0.27,0.355]","03 (0.27,0.355]"
0.287192177055072,0.127329612666709,"01 (-Inf,0.2488)","04 [0.2,0.3)","03 (0.27,0.355]","03 (0.27,0.355]"
0.382756403196477,0.127329612666709,"01 (-Inf,0.2488)","05 [0.3,0.4)","04 (0.355,0.665]","04 (0.355,0.665]"
0.287839545705482,0.127329612666709,"01 (-Inf,0.2488)","04 [0.2,0.3)","03 (0.27,0.355]","03 (0.27,0.355]"
0.287839545705482,0.127329612666709,"01 (-Inf,0.2488)","04 [0.2,0.3)","03 (0.27,0.355]","03 (0.27,0.355]"
0.00858217594655566,0.753915297051268,"04 [0.5024,0.7705)","01 [-Inf,0.05)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0.560216079626448,0.322479240234615,"03 [0.3225,0.5024)","07 [0.5,0.6)","04 (0.355,0.665]","04 (0.355,0.665]"
0.00106433725889344,0.336985037492218,"03 [0.3225,0.5024)","01 [-Inf,0.05)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0.415790391325371,0.336985037492218,"03 [0.3225,0.5024)","06 [0.4,0.5)","04 (0.355,0.665]","04 (0.355,0.665]"
0.42058210977112,0.753915297051268,"04 [0.5024,0.7705)","06 [0.4,0.5)","04 (0.355,0.665]","04 (0.355,0.665]"
0.42058210977112,0.753915297051268,"04 [0.5024,0.7705)","06 [0.4,0.5)","04 (0.355,0.665]","04 (0.355,0.665]"
0.421691119807827,0.336985037492218,"03 [0.3225,0.5024)","06 [0.4,0.5)","04 (0.355,0.665]","04 (0.355,0.665]"
0.421691119807827,0.336985037492218,"03 [0.3225,0.5024)","06 [0.4,0.5)","04 (0.355,0.665]","04 (0.355,0.665]"
0,0.143407302468436,"01 (-Inf,0.2488)","01 [-Inf,0.05)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0,0.143407302468436,"01 (-Inf,0.2488)","01 [-Inf,0.05)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0,0.143407302468436,"01 (-Inf,0.2488)","01 [-Inf,0.05)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0,0.161815904547004,"01 (-Inf,0.2488)","01 [-Inf,0.05)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0,0.143407302468436,"01 (-Inf,0.2488)","01 [-Inf,0.05)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0,0.170106277719797,"01 (-Inf,0.2488)","01 [-Inf,0.05)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0.36707596136128,0.127329612666709,"01 (-Inf,0.2488)","05 [0.3,0.4)","04 (0.355,0.665]","04 (0.355,0.665]"
0,0.127329612666709,"01 (-Inf,0.2488)","01 [-Inf,0.05)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0.36707596136128,0.127329612666709,"01 (-Inf,0.2488)","05 [0.3,0.4)","04 (0.355,0.665]","04 (0.355,0.665]"
0.487400570365504,0.272152155691859,"02 [0.2488,0.3225)","06 [0.4,0.5)","04 (0.355,0.665]","04 (0.355,0.665]"
0.418332769362395,0.502445412792699,"04 [0.5024,0.7705)","06 [0.4,0.5)","04 (0.355,0.665]","04 (0.355,0.665]"
0.380566520399785,0.272152155691859,"02 [0.2488,0.3225)","05 [0.3,0.4)","04 (0.355,0.665]","04 (0.355,0.665]"
0,0.272152155691859,"02 [0.2488,0.3225)","01 [-Inf,0.05)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0.607334580601684,0.170106277719797,"01 (-Inf,0.2488)","08 [0.6,0.7)","04 (0.355,0.665]","04 (0.355,0.665]"
0.370265722639681,0.170106277719797,"01 (-Inf,0.2488)","05 [0.3,0.4)","04 (0.355,0.665]","04 (0.355,0.665]"
0.370265722639681,0.170106277719797,"01 (-Inf,0.2488)","05 [0.3,0.4)","04 (0.355,0.665]","04 (0.355,0.665]"
0.073402311438485,0.272152155691859,"02 [0.2488,0.3225)","02 [0.05,0.1)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0.607334580601684,0.170106277719797,"01 (-Inf,0.2488)","08 [0.6,0.7)","04 (0.355,0.665]","04 (0.355,0.665]"
0.073402311438485,0.272152155691859,"02 [0.2488,0.3225)","02 [0.05,0.1)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0.073402311438485,0.272152155691859,"02 [0.2488,0.3225)","02 [0.05,0.1)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0.66623165932914,0.770517742926092,"05 [0.7705,Inf)","08 [0.6,0.7)","05 (0.665,0.829]","05 (0.665, Inf]"
0.66623165932914,0.770517742926092,"05 [0.7705,Inf)","08 [0.6,0.7)","05 (0.665,0.829]","05 (0.665, Inf]"
0.666591252851341,0.770517742926092,"05 [0.7705,Inf)","08 [0.6,0.7)","05 (0.665,0.829]","05 (0.665, Inf]"
0.853258690258562,0.770517742926092,"05 [0.7705,Inf)","10 [0.8,0.9)","06 (0.829, Inf]","05 (0.665, Inf]"
0.833131615982293,0.41049403466038,"03 [0.3225,0.5024)","10 [0.8,0.9)","06 (0.829, Inf]","05 (0.665, Inf]"
0.850343113014967,0.79006595798531,"05 [0.7705,Inf)","10 [0.8,0.9)","06 (0.829, Inf]","05 (0.665, Inf]"
0.850343113014967,0.79006595798531,"05 [0.7705,Inf)","10 [0.8,0.9)","06 (0.829, Inf]","05 (0.665, Inf]"
0.833131615982293,0.41049403466038,"03 [0.3225,0.5024)","10 [0.8,0.9)","06 (0.829, Inf]","05 (0.665, Inf]"
0,0.336985037492218,"03 [0.3225,0.5024)","01 [-Inf,0.05)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0,0.322479240234615,"03 [0.3225,0.5024)","01 [-Inf,0.05)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0.533836575351705,0.502445412792699,"04 [0.5024,0.7705)","07 [0.5,0.6)","04 (0.355,0.665]","04 (0.355,0.665]"
0.533836575351705,0.502445412792699,"04 [0.5024,0.7705)","07 [0.5,0.6)","04 (0.355,0.665]","04 (0.355,0.665]"
0.00369668071796151,0.336985037492218,"03 [0.3225,0.5024)","01 [-Inf,0.05)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0,0.322479240234615,"03 [0.3225,0.5024)","01 [-Inf,0.05)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0,0.143407302468436,"01 (-Inf,0.2488)","01 [-Inf,0.05)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0,0.322479240234615,"03 [0.3225,0.5024)","01 [-Inf,0.05)","01 [-Inf,0.146]","01 [-Inf,0.146]"
0.818763538973281,0.832127594179105,"05 [0.7705,Inf)","10 [0.8,0.9)","05 (0.665,0.829]","05 (0.665, Inf]"
0.696138532565064,0.41049403466038,"03 [0.3225,0.5024)","08 [0.6,0.7)","05 (0.665,0.829]","05 (0.665, Inf]"
0.696138532565064,0.41049403466038,"03 [0.3225,0.5024)","08 [0.6,0.7)","05 (0.665,0.829]","05 (0.665, Inf]"
0.559056357905802,0.143407302468436,"01 (-Inf,0.2488)","07 [0.5,0.6)","04 (0.355,0.665]","04 (0.355,0.665]"
0.614545470237095,0.270368693962829,"02 [0.2488,0.3225)","08 [0.6,0.7)","04 (0.355,0.665]","04 (0.355,0.665]"
0.464054238072405,0.161815904547004,"01 (-Inf,0.2488)","06 [0.4,0.5)","04 (0.355,0.665]","04 (0.355,0.665]"
0.559056357905802,0.143407302468436,"01 (-Inf,0.2488)","07 [0.5,0.6)","04 (0.355,0.665]","04 (0.355,0.665]"
0.818763538973281,0.832127594179105,"05 [0.7705,Inf)","10 [0.8,0.9)","05 (0.665,0.829]","05 (0.665, Inf]"
