Creditability,Account_Balance,Duration_of_Credit__month,Payment_Status_of_Previous_Credit,Purpose,Value_Savings_Stocks,Length_of_current_employment
0,1,"03 [16,45)",4,2,1,2
0,1,"02 [8,16)",4,0,1,3
0,2,"02 [8,16)",2,9,2,4
0,1,"02 [8,16)",4,0,1,3
0,1,"02 [8,16)",4,0,1,3
0,1,"02 [8,16)",4,0,1,2
0,1,"02 [8,16)",4,0,1,4
0,1,"01 (-Inf,8)",4,0,1,2
0,4,"03 [16,45)",4,3,1,1
0,2,"03 [16,45)",2,3,3,1
0,1,"02 [8,16)",4,0,1,3
0,1,"03 [16,45)",4,1,2,4
0,1,"01 (-Inf,8)",4,3,1,4
0,2,"04 [45,Inf)",3,7,2,1
0,1,"03 [16,45)",2,3,5,4
0,1,"01 (-Inf,8)",2,3,3,3
0,1,"02 [8,16)",4,0,1,3
0,2,"03 [16,45)",2,3,3,2
0,2,"03 [16,45)",4,3,1,5
0,4,"02 [8,16)",4,0,1,3
0,1,"01 (-Inf,8)",4,0,1,3
0,2,"02 [8,16)",4,0,1,2
1,2,"03 [16,45)",2,5,1,2
0,2,"02 [8,16)",4,4,1,4
0,1,"01 (-Inf,8)",4,0,5,2
0,2,"02 [8,16)",3,3,1,4
0,1,"02 [8,16)",2,2,1,5
0,2,"02 [8,16)",4,3,1,5
0,4,"02 [8,16)",2,0,5,3
0,3,"03 [16,45)",4,1,1,5
0,3,"03 [16,45)",4,3,1,5
0,4,"03 [16,45)",4,0,1,4
0,4,"03 [16,45)",4,0,1,5
0,4,"03 [16,45)",2,3,3,4
0,1,"02 [8,16)",2,0,1,2
0,1,"01 (-Inf,8)",4,0,1,5
0,4,"02 [8,16)",4,0,1,5
0,4,"02 [8,16)",4,3,1,5
0,4,"03 [16,45)",2,1,5,3
0,4,"03 [16,45)",4,1,1,5
0,4,"02 [8,16)",4,5,5,4
0,1,"03 [16,45)",2,7,1,5
0,4,"03 [16,45)",4,0,1,3
0,2,"03 [16,45)",4,9,5,4
0,2,"03 [16,45)",2,6,5,3
1,1,"03 [16,45)",2,0,1,2
0,4,"03 [16,45)",2,9,1,4
1,4,"03 [16,45)",4,6,2,3
0,4,"03 [16,45)",2,0,2,2
0,1,"03 [16,45)",4,9,2,4
0,4,"02 [8,16)",2,0,1,3
0,3,"03 [16,45)",2,3,1,3
0,4,"02 [8,16)",4,0,1,3
