"lgd","rf_05","rf_16","rf_02","rf_13","rf_14","rf_12","rf_09","rf_01","rf_07","rf_11"
0.541231530630751,"01 (-Inf,38.408)","02 [0.0634,34.6935)","02 [47.8446,125.0093)","03 [2.6617,5.0394)","02 [1698.4647,10839.1025)","01 (-Inf,1354.0616)","01 (-Inf,25891.4584)","01 (-Inf,18.1894)","01 (-Inf,1018.6744)","SC"
0.857234410389709,"01 (-Inf,38.408)","03 [34.6935,43.6851)","02 [47.8446,125.0093)","02 [1,2.6617)","02 [1698.4647,10839.1025)","01 (-Inf,1354.0616)","01 (-Inf,25891.4584)","01 (-Inf,18.1894)","02 [1018.6744,Inf)","SC"
0.829010470371612,"02 [38.408,177.9077)","02 [0.0634,34.6935)","02 [47.8446,125.0093)","03 [2.6617,5.0394)","02 [1698.4647,10839.1025)","01 (-Inf,1354.0616)","01 (-Inf,25891.4584)","03 [20.1001,Inf)","02 [1018.6744,Inf)","01 (-Inf,3.7243)"
0.909796845366079,"02 [38.408,177.9077)","03 [34.6935,43.6851)","02 [47.8446,125.0093)","04 [5.0394,Inf)","02 [1698.4647,10839.1025)","01 (-Inf,1354.0616)","01 (-Inf,25891.4584)","01 (-Inf,18.1894)","02 [1018.6744,Inf)","01 (-Inf,3.7243)"
0.857234410389709,"01 (-Inf,38.408)","03 [34.6935,43.6851)","02 [47.8446,125.0093)","02 [1,2.6617)","02 [1698.4647,10839.1025)","01 (-Inf,1354.0616)","01 (-Inf,25891.4584)","01 (-Inf,18.1894)","02 [1018.6744,Inf)","SC"
0.103602186242086,"02 [38.408,177.9077)","02 [0.0634,34.6935)","02 [47.8446,125.0093)","03 [2.6617,5.0394)","02 [1698.4647,10839.1025)","01 (-Inf,1354.0616)","01 (-Inf,25891.4584)","03 [20.1001,Inf)","02 [1018.6744,Inf)","01 (-Inf,3.7243)"
0.103602186242086,"02 [38.408,177.9077)","02 [0.0634,34.6935)","02 [47.8446,125.0093)","03 [2.6617,5.0394)","02 [1698.4647,10839.1025)","01 (-Inf,1354.0616)","01 (-Inf,25891.4584)","03 [20.1001,Inf)","02 [1018.6744,Inf)","01 (-Inf,3.7243)"
0.773875326575278,"03 [177.9077,198.5536)","04 [43.6851,Inf)","02 [47.8446,125.0093)","04 [5.0394,Inf)","02 [1698.4647,10839.1025)","02 [1354.0616,Inf)","01 (-Inf,25891.4584)","03 [20.1001,Inf)","02 [1018.6744,Inf)","01 (-Inf,3.7243)"
0.275354600905514,"04 [198.5536,Inf)","02 [0.0634,34.6935)","02 [47.8446,125.0093)","03 [2.6617,5.0394)","02 [1698.4647,10839.1025)","01 (-Inf,1354.0616)","01 (-Inf,25891.4584)","01 (-Inf,18.1894)","SC","SC"
0.352462930049435,"04 [198.5536,Inf)","03 [34.6935,43.6851)","02 [47.8446,125.0093)","04 [5.0394,Inf)","02 [1698.4647,10839.1025)","01 (-Inf,1354.0616)","01 (-Inf,25891.4584)","01 (-Inf,18.1894)","SC","SC"
